epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4381,1.34418,2.40923,1.33592,0.76773,0.20399,0.2164,0.13487,1.36754,2.03708,1.33927,0.000329825,0.000329825,0.000329825
2,70.3967,1.40576,1.85193,1.38133,0.75861,0.23177,0.21853,0.1213,1.59237,1.96983,1.51116,0.000630332,0.000630332,0.000630332
3,102.742,1.46043,1.8511,1.41695,0.73759,0.25186,0.23958,0.13482,1.6646,1.77214,1.5592,0.000897839,0.000897839,0.000897839
4,134.904,1.48593,1.78363,1.44653,0.79121,0.27636,0.27656,0.15541,1.59108,1.6558,1.53969,0.0008515,0.0008515,0.0008515
5,167.263,1.47594,1.73012,1.43543,0.80075,0.23237,0.24802,0.14973,1.56614,1.90309,1.50624,0.000802,0.000802,0.000802
6,199.182,1.43409,1.64777,1.40647,0.82499,0.26759,0.29252,0.17188,1.55188,1.64372,1.49672,0.0007525,0.0007525,0.0007525
7,231.089,1.41201,1.60814,1.39541,0.78247,0.26878,0.25631,0.1449,1.53516,1.63428,1.47503,0.000703,0.000703,0.000703
8,263.172,1.39227,1.54133,1.37494,0.80626,0.27491,0.28512,0.1645,1.53864,1.58859,1.47627,0.0006535,0.0006535,0.0006535
9,295.181,1.35927,1.49684,1.35457,0.82153,0.2933,0.3011,0.18659,1.44918,1.42551,1.43946,0.000604,0.000604,0.000604
10,327.106,1.32348,1.40664,1.33903,0.847,0.26632,0.30084,0.19263,1.46274,1.41992,1.45036,0.0005545,0.0005545,0.0005545
11,387.179,1.3219,1.44306,1.34154,0.84269,0.27757,0.31417,0.19895,1.43439,1.41885,1.40329,0.000505,0.000505,0.000505
12,418.679,1.29045,1.35443,1.31464,0.83584,0.28538,0.32506,0.20634,1.39953,1.38215,1.38256,0.0004555,0.0004555,0.0004555
13,450.094,1.27091,1.29833,1.30448,0.85413,0.28322,0.33608,0.22058,1.40051,1.32094,1.37122,0.000406,0.000406,0.000406
14,481.422,1.2515,1.26569,1.29094,0.82245,0.3012,0.33151,0.21616,1.36523,1.30522,1.35028,0.0003565,0.0003565,0.0003565
15,512.67,1.22296,1.2221,1.27088,0.82183,0.31556,0.33291,0.22045,1.3453,1.28066,1.3411,0.000307,0.000307,0.000307
16,543.988,1.19764,1.1724,1.25663,0.83501,0.31986,0.3436,0.22816,1.352,1.2485,1.33714,0.0002575,0.0002575,0.0002575
17,575.365,1.16183,1.1124,1.2307,0.75439,0.37858,0.38564,0.26462,1.31835,1.2336,1.31626,0.000208,0.000208,0.000208
18,606.624,1.13952,1.07461,1.21547,0.83307,0.32112,0.3577,0.24262,1.31562,1.22307,1.3271,0.0001585,0.0001585,0.0001585
19,637.948,1.12534,1.05232,1.20071,0.79065,0.34453,0.35684,0.24302,1.30815,1.20183,1.31249,0.000109,0.000109,0.000109
20,669.362,1.09906,1.0086,1.18573,0.78807,0.35271,0.35515,0.24511,1.29366,1.19446,1.30832,5.95e-05,5.95e-05,5.95e-05
