epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.764,1.2488,1.09042,1.27333,0.70557,0.5245,0.60891,0.3726,1.34289,1.21747,1.31847,0.000666133,0.000666133,0.000666133
2,480.406,1.34914,1.22397,1.34579,0.7044,0.50763,0.59375,0.35263,1.39466,1.23767,1.3569,0.00120085,0.00120085,0.00120085
3,691.106,1.3752,1.25704,1.3666,0.68746,0.51742,0.59436,0.35429,1.39543,1.24893,1.36549,0.00160357,0.00160357,0.00160357
4,899.932,1.37163,1.24487,1.36068,0.69308,0.52981,0.60792,0.36794,1.36594,1.21173,1.33879,0.001406,0.001406,0.001406
5,1109.17,1.31792,1.18148,1.32458,0.72207,0.54681,0.62956,0.38044,1.35838,1.17223,1.32751,0.001208,0.001208,0.001208
6,1318.8,1.28449,1.13745,1.30014,0.73139,0.55772,0.64376,0.39806,1.28909,1.12405,1.28624,0.00101,0.00101,0.00101
7,1529.19,1.25089,1.07965,1.27515,0.7378,0.57062,0.65995,0.41508,1.26446,1.06386,1.26876,0.000812,0.000812,0.000812
8,1737.49,1.21977,1.0447,1.25404,0.73599,0.57822,0.66489,0.4213,1.2399,1.04754,1.24637,0.000614,0.000614,0.000614
9,1944.96,1.18454,0.99518,1.23246,0.7424,0.5865,0.67633,0.43526,1.22397,1.0164,1.23502,0.000416,0.000416,0.000416
10,2151.35,1.16014,0.9603,1.21348,0.75879,0.5938,0.68705,0.44823,1.19109,0.98204,1.21299,0.000218,0.000218,0.000218
