epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.214,1.41452,1.69947,1.37059,0.57727,0.4269,0.45282,0.23635,1.63599,1.72596,1.54085,0.000666133,0.000666133,0.000666133
2,479.722,1.60435,1.61966,1.52153,0.58039,0.40694,0.45243,0.24356,1.6373,1.66261,1.55267,0.00120085,0.00120085,0.00120085
3,682.735,1.57855,1.56258,1.5107,0.61474,0.42879,0.47492,0.2608,1.5907,1.60912,1.49832,0.00160357,0.00160357,0.00160357
4,888.487,1.53242,1.47139,1.47686,0.63728,0.48646,0.54785,0.31959,1.47891,1.386,1.42636,0.001406,0.001406,0.001406
5,1101.18,1.44767,1.38486,1.4143,0.67597,0.48817,0.56657,0.3296,1.46216,1.35003,1.40397,0.001208,0.001208,0.001208
6,1312.63,1.39201,1.30019,1.37907,0.7091,0.53675,0.61703,0.3766,1.34739,1.19599,1.3307,0.00101,0.00101,0.00101
7,1520.53,1.34018,1.22737,1.33893,0.70938,0.55213,0.63389,0.38906,1.32615,1.15452,1.301,0.000812,0.000812,0.000812
8,1728.78,1.30291,1.1727,1.31259,0.72431,0.54842,0.64005,0.39828,1.27796,1.133,1.27983,0.000614,0.000614,0.000614
9,1935.68,1.25347,1.10452,1.28034,0.72937,0.57652,0.66222,0.42323,1.23435,1.06915,1.24232,0.000416,0.000416,0.000416
10,2140.2,1.21095,1.04406,1.24826,0.75636,0.57706,0.6733,0.4349,1.20835,1.02758,1.22452,0.000218,0.000218,0.000218
