epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.96066,0.86647,0.96734,1.04485,0.70914,0.40127,0.45725,0.30542,1.21961,1.56913,1.2306,0.00026,0.00026,0.00026
2,15.5245,0.83586,0.88883,1.01138,0.7561,0.43651,0.4627,0.29223,1.2104,1.18681,1.20214,0.000503765,0.000503765,0.000503765
3,21.0611,0.83765,0.8871,1.02247,0.79877,0.35332,0.42379,0.27812,1.25184,1.26471,1.2397,0.0007208,0.0007208,0.0007208
4,26.6354,0.94288,0.97548,1.07551,0.82745,0.35119,0.41646,0.26413,1.33057,1.3701,1.33196,0.0008515,0.0008515,0.0008515
5,32.1798,0.96928,1.01486,1.05923,0.77856,0.35068,0.40531,0.26007,1.2441,1.37867,1.27074,0.000802,0.000802,0.000802
6,37.6485,0.9485,1.05421,1.09082,0.60823,0.42325,0.42171,0.27553,1.16381,1.24036,1.19495,0.0007525,0.0007525,0.0007525
7,43.2006,0.98439,0.97845,1.06131,0.62111,0.39405,0.39057,0.25348,1.23391,1.37366,1.22312,0.000703,0.000703,0.000703
8,48.7271,0.94152,0.96101,1.05352,0.71446,0.41943,0.45497,0.30399,1.13568,1.23337,1.15808,0.0006535,0.0006535,0.0006535
9,54.1915,0.93615,1.00166,1.09139,0.74908,0.43343,0.46806,0.31744,1.15319,1.17486,1.17508,0.000604,0.000604,0.000604
10,59.7596,0.94958,0.97018,1.07984,0.83605,0.41191,0.45268,0.2955,1.18145,1.22962,1.2158,0.0005545,0.0005545,0.0005545
11,95.741,0.88193,1.00385,1.04128,0.75993,0.37851,0.43234,0.28552,1.16201,1.2818,1.18007,0.000505,0.000505,0.000505
12,101.227,0.85993,0.95165,1.02572,0.7768,0.39495,0.45933,0.30959,1.18626,1.11972,1.20912,0.0004555,0.0004555,0.0004555
13,106.643,0.84171,0.90255,1.01594,0.6274,0.44545,0.45503,0.30514,1.21093,1.20735,1.26486,0.000406,0.000406,0.000406
14,112.149,0.83412,0.87944,1.01755,0.76458,0.3945,0.45903,0.30446,1.16646,1.11001,1.22782,0.0003565,0.0003565,0.0003565
15,117.639,0.81405,0.85521,0.99107,0.80351,0.40147,0.45161,0.30089,1.20205,1.07191,1.23081,0.000307,0.000307,0.000307
16,123.241,0.8293,0.86734,1.00439,0.70827,0.40081,0.4533,0.30537,1.17151,1.02738,1.22066,0.0002575,0.0002575,0.0002575
17,128.602,0.81135,0.8367,0.99684,0.69074,0.42816,0.46052,0.31332,1.17032,1.02056,1.21117,0.000208,0.000208,0.000208
18,133.888,0.81695,0.7979,0.99837,0.7539,0.39971,0.46118,0.31184,1.17433,1.0693,1.21796,0.0001585,0.0001585,0.0001585
19,139.179,0.80009,0.80208,0.98576,0.73158,0.3961,0.46571,0.31321,1.17396,1.05892,1.21342,0.000109,0.000109,0.000109
20,144.537,0.79929,0.80641,1.01394,0.66986,0.4368,0.47215,0.32227,1.13087,1.01518,1.18136,5.95e-05,5.95e-05,5.95e-05
